Text	Category
Engelli ulaşım desteği talebi. Engelli bireyin bulunduğu hanede hareket kısıtlı vatandaşın belediye hizmetine erişmesi gerekiyor. Kişi günlük ihtiyaçlarını tek başına karşılayamıyor. Uygun destek ve yönlendirmenin sağlanmasını istiyorum.	Engelli ve Yaşlı Desteği
Mahalle, park ve yol çevresinde saldırgan köpeklerin yayalara yönelmesi nedeniyle mağduriyet yaşanıyor. Durum hem hayvan hem çevredeki insanlar için kontrollü müdahale gerektiriyor. Canlı güvenliği gözetilerek gerekli veteriner hizmetinin sağlanmasını rica ediyoruz.	Hayvan Kaynaklı Tehlike
İpekyolu ilçesinde belediye borcu, vergi, harç veya ödeme kaydında tahsilatın hesaba yansımaması. Son günlerde sorun belirgin biçimde arttı. Ödeme yapılmasına rağmen borç kapanmadığı için işlem tamamlanamıyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Tutar, dönem ve ödeme durumunun açıkça bildirilmesini talep ediyoruz.	Borç ve Tahsilat
Önemli tarihin zamanında bildirilmemesi. Resmi görüşme veya kamuoyu bilgilendirmesi sırasında önemli tarihin zamanında bildirilmemesi nedeniyle mağduriyet yaşanıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Duyuru ve Tanıtım
Yağmurda sokağı su basıyor. Her yağmur yağdığında apartmanların önünde büyük su birikintisi oluşuyor ve su bodrum katlara kadar ulaşıyor. Mazgallar çamurla dolu ve suyu tahliye etmiyor. Asfalt sorunu değil, drenaj ve mazgal sisteminin yetersizliği nedeniyle başvuruyoruz.	Yağmur Suyu ve Drenaj
Çaldıran tarafında hayvan refahı açısından acil değerlendirme gereken noktada hayvan için kısırlaştırma talep edilmesi konusu çözüm bekliyor. Sorun yaklaşık üç gündür devam ediyor. Çocuklar ve çevrede yaşayanlar endişe duyarken hayvan da korunmasız kalıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Canlı güvenliği gözetilerek gerekli veteriner hizmetinin sağlanmasını rica ediyoruz.	Barınak ve Kısırlaştırma
Özalp ilçesinde tarım ve hayvancılık araçlarının kullandığı stabilize yolda tarım araçlarının kullandığı yolun bozulması. Yaklaşık bir aydır aynı problem yaşanıyor. Tarım ürünlerinin pazara taşınması gecikiyor ve araçlarda hasar oluşuyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Yerleşimin güvenli ulaşımını sağlayacak kalıcı yol iyileştirmesi yapılmasını rica ediyoruz.	Kırsal Yol ve Altyapı
Vatandaşlar belediye tesisindeki internet kullanımında ağ bağlantısının sık kopması konusunda destek talep ediyor. Farklı cihazlarda aynı hata tekrar ettiği için hizmete erişim kesiliyor. Hesap, uygulama veya ağ bağlantısının kontrol edilmesini talep ediyoruz.	İnternet ve Ağ Hizmetleri
Taşınmazın mülkiyet, kullanım veya sözleşme sürecinde kamulaştırma bedeline itiraz edilmesi nedeniyle mağduriyet yaşanıyor. Bu durum iki haftadır sonuçlanmadı. Mülkiyet veya kullanım durumu netleşmediği için vatandaş işlem yapamıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Dosyanın ve taşınmaz kayıtlarının incelenmesini istiyoruz.	Kamulaştırma
Hak sahibi ve belediye arasında yürütülen süreçte kamu yapısının atıl kalması nedeniyle mağduriyet yaşanıyor. Bu durum iki haftadır sonuçlanmadı. Bedel, sözleşme veya hak sahipliği belirsizliği mağduriyet oluşturuyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Başvurunun ilgili mevzuata göre sonuçlandırılmasını rica ediyoruz.	Belediye Taşınmazları
Barınağa bırakılan hayvanın durumunun sorulması. Başvurumuz sahipsiz hayvanların görüldüğü kamusal alanda görülen barınağa bırakılan hayvanın durumunun sorulması hakkındadır. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Barınak ve Kısırlaştırma
Evde sağlık ve bakım desteği. Yatağa bağımlı yaşlı veya engelli vatandaşın hanesinde hareket edemeyen kişinin temel bakım işlemleri yapılamıyor. Evde bakım ekibinin değerlendirme yapmasını talep ediyoruz. Bu talep genel sosyal yardım değil, evde sunulan bakım hizmetiyle ilgilidir.	Evde Bakım
Pazar tezgâhı hijyenik değil. Semt pazarı ve ticari alanda gıda ürünleri açıkta ve uygun olmayan koşullarda tutuluyor. Fiyat, etiket ve ölçü uygulamalarının kontrol edilmesini istiyorum. Fiyat ve hizmet koşulları şeffaf biçimde uygulanmıyor.	Denetim
Özalp ilçesinde yalnız yaşayan veya destek ağı bulunmayan vatandaşta aile için düzenli yardım başvurusu. Sorun yaklaşık üç gündür devam ediyor. Vatandaş hangi sosyal hizmete başvuracağını bilemediği için yardım alamıyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Kişiye uygun destek programına yönlendirme ve yardım sağlanmasını talep ediyoruz.	Sosyal Yardım
Vatandaşlar temel yaşam koşullarını sürdürmekte zorlanan kişide kırtasiye ve eğitim desteği talebi konusunda destek talep ediyor. Bu durum iki haftadır sonuçlanmadı. Mevcut koşullar çocukların, yaşlıların veya bakım ihtiyacı olan bireylerin yaşamını etkiliyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Sosyal hizmet ekibinin ihtiyaç değerlendirmesi yapmasını istiyoruz.	Sosyal Yardım
Vatandaşlar üretim sezonu ve hasat hazırlığı sırasında arıcılık desteği sorulması konusunda destek talep ediyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Üreticiler mevcut destek ve hizmetlerden nasıl yararlanacağını bilmiyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. İlgili kırsal hizmetin planlanmasını ve başvuru koşullarının bildirilmesini talep ediyoruz.	Hayvancılık Desteği
Personel işlem hakkında bilgi vermedi. Belediye hizmet biriminde başvurunun durumu açıklanmadan vatandaş geri gönderildi. Konu teknik uygulama arızası değil, kurum ve personel iletişimiyle ilgilidir. İletişim sürecinin ve personel yaklaşımının değerlendirilmesini talep ediyoruz.	Kurumsal İletişim
Vatandaşlar ekonomik veya sosyal açıdan zor durumda olan hanede engelli bireyin ulaşım ihtiyacı konusunda destek talep ediyor. Genel hane yardımından ziyade engelli veya yaşlı bireyin özel erişim ve bakım ihtiyacı bildirilmektedir. Kişi veya aile temel ihtiyaçlarını güvenli biçimde karşılayamıyor. Başvurunun gizlilik ve hassasiyet gözetilerek değerlendirilmesini rica ediyoruz. Konunun doğru hizmet alanında değerlendirilerek başvuru sahibine geri dönüş yapılmasını rica ediyoruz.	Engelli ve Yaşlı Desteği
Hayvan saldırısı nedeniyle çocukların çıkamaması. Başvurumuz vatandaşların ve hayvanların güvenliğini etkileyen bölgede görülen hayvan saldırısı nedeniyle çocukların çıkamaması hakkındadır. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Hayvan Kaynaklı Tehlike
Okul önünde uyarı işareti yok. Ana cadde üzerindeki sinyalize alanda öğrenci geçişini belirten levha ve çizgiler eksik. Çizgi, levha ve ışıkların yenilenmesini istiyorum. Kaza riski artıyor ve geçiş düzeni bozuluyor.	Trafik Düzenleme ve Sinyalizasyon
Vatandaşlar hak sahibi ve belediye arasında yürütülen süreçte kamulaştırmasız el atma iddiası konusunda destek talep ediyor. Son günlerde sorun belirgin biçimde arttı. Taşınmazın satışı, kullanımı veya devri beklemek zorunda kalıyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Dosyanın ve taşınmaz kayıtlarının incelenmesini istiyoruz.	Kamulaştırma
Ruhsatsız iş yeri faaliyet gösteriyor. İşletmenin belediye çalışma ruhsatı bulunmadığı düşünülüyor. Açma ve çalışma ruhsatı başvurusunda bu nedenle sorun daha belirgin hâle geliyor. Ticari faaliyet başlatılamıyor veya denetlenemiyor. İş yeri ruhsat dosyasının incelenmesini talep ediyoruz.	Ruhsat
Vatandaşlar hak sahibi ve belediye arasında yürütülen süreçte taşınmazın kamulaştırma kapsamında olması konusunda destek talep ediyor. Mülkiyet veya kullanım durumu netleşmediği için vatandaş işlem yapamıyor. Mülkiyet, kullanım, bedel veya sözleşme durumunun resmi olarak açıklanmasını talep ediyoruz.	Kamulaştırma
Başvurumuz okul, hastane ve iş merkezlerine erişim sağlayan bölgede görülen belediye otoparkı girişinin düzensiz olması hakkındadır. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Yoğun saatlerde güvenlik ve erişilebilirlik sorunu daha belirgin hale geliyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Ulaşım düzeninin saha verileri dikkate alınarak yeniden değerlendirilmesini istiyoruz.	Otopark
Hasta köpeğin acil müdahaleye ihtiyaç duyması. Başvurumuz hayvan refahı açısından acil değerlendirme gereken noktada görülen hasta köpeğin acil müdahaleye ihtiyaç duyması hakkındadır. Çocuklar ve çevrede yaşayanlar endişe duyarken hayvan da korunmasız kalıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Yaralı ve Hasta Hayvan
Başvurumuz yalnız yaşayan veya destek ağı bulunmayan vatandaşta görülen çocuk ve ebeveyn danışmanlığı hakkındadır. Yaklaşık bir aydır aynı problem yaşanıyor. Kişi veya aile temel ihtiyaçlarını güvenli biçimde karşılayamıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Sosyal hizmet ekibinin ihtiyaç değerlendirmesi yapmasını istiyoruz.	Kadın ve Aile Desteği
Tuşba ilçesinde son ödeme ve itiraz süresi devam eden dosyada yapılandırma seçeneği istenmesi. Banka ve belediye kayıtları uyuşmadığından sorun çözülemiyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Borç ve Tahsilat
Vatandaşlar mahalle muhtarlığı ile belediye arasındaki süreçte mahallede birden fazla hizmet ihtiyacı olması. Muhtar vatandaşlara güncel bilgi veremiyor ve hizmet takibi aksıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Mahalle İhtiyaçları
Yerleşim alanının ana bağlantı noktasında drenaj hattının bodrumlara su basmasına yol açması nedeniyle mağduriyet yaşanıyor. Son günlerde sorun belirgin biçimde arttı. Özellikle çocuklar, yaşlılar ve servis araçları bu durumdan doğrudan etkileniyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Saha ekibinin yerinde inceleme yaparak gerekli bakım ve onarımı tamamlamasını istiyoruz.	Yağmur Suyu ve Drenaj
İpekyolu tarafında mahalle içindeki yoğun kullanılan güzergâhta şev tutucu duvarın yana doğru açılması. İpekyolu tarafında mahalle içindeki yoğun kullanılan güzergâhta şev tutucu duvarın yana doğru açılması konusu çözüm bekliyor. Araç ve yaya geçişi zorlaşıyor, güvenlik riski her geçen gün artıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Köprü, Menfez ve İstinat
Durak çatısı su geçiriyor. Yağışlı havada bekleme alanı kullanılamıyor. Yaşlı vatandaşların sık kullandığı durakta bu nedenle sorun daha belirgin hâle geliyor. Bu konu sefer sıklığından değil, durağın yeri ve donanımından kaynaklanıyor. Durak bilgileri ve fiziki koşulların kontrol edilmesini rica ediyoruz.	Otobüs Durağı
Çaldıran tarafında başvuru sahibinin resmi dosyasında ada ve parsel bilgilerinin bulunamaması konusu çözüm bekliyor. Son günlerde sorun belirgin biçimde arttı. Farklı kaynaklardan çelişkili bilgi alındığı için konu netleştirilemiyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Dosyanın güncel durumunun ve gerekli belgelerin açıkça bildirilmesini istiyoruz.	Harita ve Parsel
Mahalle sakinlerinin sosyal faaliyet ihtiyacında gençlik merkezine erişim sorunu. Mahalle sakinlerinin sosyal faaliyet ihtiyacında gençlik merkezine erişim sorunu nedeniyle mağduriyet yaşanıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Gençlik Hizmetleri
Mezarlıkta aydınlatma yetersiz. Mahalle mezarlığında giriş ve ana yollardaki lambalar çalışmıyor. Talep genel park peyzajı değil, mezarlık alanının bakım ve temizliğidir. Otların temizlenmesini ve hasarlı bölümlerin onarılmasını istiyorum.	Mezarlık Bakım ve Temizliği
Yaşlılar için gündüz yaşam hizmeti. Sosyal katılım ve günlük destek programı isteniyor. Aile ve bakım verenlerin başvurusunda bu nedenle sorun daha belirgin hâle geliyor. Sosyal yaşama ve belediye hizmetlerine erişim zorlaşıyor. Uygun destek ve yönlendirmenin sağlanmasını istiyorum.	Engelli ve Yaşlı Desteği
Vatandaşlar mahalle sakinlerinin sosyal faaliyet ihtiyacında çocuklara eğitim programı talebi konusunda destek talep ediyor. Bu durum iki haftadır sonuçlanmadı. Bölgedeki sosyal, kültürel ve sportif imkânlar yetersiz kalıyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. İhtiyaca uygun faaliyet veya hizmetin planlanmasını talep ediyoruz.	Kurs ve Eğitim
Özalp ilçesinde mahalle muhtarlığı ile belediye arasındaki süreçte mahalle sorunları için toplantı talebi. Sorun yaklaşık üç gündür devam ediyor. Koordinasyon eksikliği saha çalışmasının planlanmasını geciktiriyor. İlgili kanala daha önce başvurulduğu halde geri dönüş alınamadı. Resmi başvuruya geri dönüş yapılmasını ve çalışma planının paylaşılmasını rica ediyoruz.	Muhtar İletişimi
Okul, sağlık ocağı ve konutların bulunduğu bölgede otobüs güzergâhında kar temizliğinin gecikmesi nedeniyle mağduriyet yaşanıyor. Son günlerde sorun belirgin biçimde arttı. Özellikle çocuklar, yaşlılar ve servis araçları bu durumdan doğrudan etkileniyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Geçici müdahale yerine kalıcı teknik çözüm uygulanmasını talep ediyoruz.	Kar ve Buzlanma
Başvurumuz sahipsiz hayvanların görüldüğü kamusal alanda görülen kanaması bulunan hayvanın bulunması hakkındadır. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Durum hem hayvan hem çevredeki insanlar için kontrollü müdahale gerektiriyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Hayvanın uygun yöntemle kontrol, bakım veya tedavi sürecine alınmasını talep ediyoruz.	Yaralı ve Hasta Hayvan
İşportacılar yolu kapatıyor. Seyyar tezgâhlar araç ve yaya geçişini engelliyor. Pazar çevresinde bu nedenle sorun daha belirgin hâle geliyor. Bu talep iş yerinin sabit masa ve ürün işgalinden farklı, genel zabıta düzeniyle ilgilidir. İzinsiz faaliyetin durdurulmasını istiyorum.	Zabıta
İçme suyunda kötü koku var. Şehir şebekesine bağlı evlerde şebeke suyunda belirgin koku ve tat değişikliği bulunuyor. Gerekli numune ve teknik incelemenin yapılmasını rica ediyoruz. Bu sorun tarımsal sulamayla değil, evsel içme suyu şebekesiyle ilgilidir.	İçme Suyu ve Şebeke
Bina cephesine dayanan dal var. Uzun dallar pencere ve çatıya temas ediyor. Mahalle parkında bu nedenle sorun daha belirgin hâle geliyor. Yaya geçişi ve çevredeki yapılar zarar görebilir. Ağaç bakımının yapılmasını rica ediyoruz.	Ağaç ve Budama
Muradiye tarafında gün boyunca yoğun kullanılan açık alanda görüşü kapatan dalların budanması konusu çözüm bekliyor. Sorun yaklaşık üç gündür devam ediyor. Alan güvenli ve işlevsel biçimde kullanılamıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Kırık veya işlevsiz unsurların yenilenmesini ve alanın güvenli hale getirilmesini talep ediyoruz.	Ağaç ve Budama
Vatandaşlar araç ve yaya trafiğinin birlikte yoğun olduğu kesimde mazgal kapağının kırık olması konusunda destek talep ediyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Ulaşım aksadığı için vatandaşlar alternatif ve daha uzun yolları kullanmak zorunda kalıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Güvenlik önlemleri alınarak sorunun kısa sürede giderilmesini rica ediyoruz.	Yağmur Suyu ve Drenaj
Muradiye ilçesinde mahalle parkı ve ortak dinlenme alanında park korkuluklarının zarar görmesi. Yaklaşık bir aydır aynı problem yaşanıyor. Kamusal alanın görünümü ve kullanım kalitesi belirgin biçimde bozuluyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Düzenli bakım programına alınarak kalıcı çözüm sağlanmasını rica ediyoruz.	Park ve Oyun Alanı
Başvurumuz yerleşim alanına yakın tehlikeli noktada görülen selde vatandaşın mahsur kalması hakkındadır. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Olay çevredeki kişilere ve yapılara hızla yayılabilecek tehlike oluşturuyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Olay bölgesinde güvenlik çemberi ve gerekli teknik müdahalenin sağlanmasını rica ediyoruz.	Kurtarma ve Acil Müdahale
Hurda araç çocuklar için tehlike oluşturuyor. Dar bir sokakta kapıları açık ve camları kırık araç oyun alanı yakınında duruyor. Çocuklar ve yayalar için yaralanma riski bulunuyor. Sahibi tespit edilemiyorsa gerekli yasal işlemin yapılmasını istiyorum.	Terk Edilmiş ve Hurda Araçlar
Kurumuş ağaç devrilmek üzere. Mahalle parkında parktaki kuru ağaç rüzgârda devrilme riski taşıyor. Ağaç bakımının yapılmasını rica ediyoruz. Yaya geçişi ve çevredeki yapılar zarar görebilir.	Ağaç ve Budama
Çaldıran tarafında mahalle sakinlerinin sosyal faaliyet ihtiyacında konser veya festival programının sorulması konusu çözüm bekliyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Başvuru sistemi ve program saatleri kullanıcıları mağdur ediyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Program, kayıt ve kullanım koşullarının düzenlenmesini istiyoruz.	Etkinlikler
Ekonomik veya sosyal açıdan zor durumda olan hanede zor durumdaki haneye acil destek istenmesi. Mevcut koşullar çocukların, yaşlıların veya bakım ihtiyacı olan bireylerin yaşamını etkiliyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Sosyal Yardım
